salinity_surface_psu,temperature_surface_°c,mean_wind_speed_prior_week_m_s⁻¹,precipitation_prior_wk_cm,irradiance_w_m⁻²,total_river_m_s⁻¹
31.24,16.4,4.783328,0.1524,127.2,10.232016
30.91,16.1,4.69392,7.366,117.0,17.394144
28.89,15.8,4.559807999999999,24.0284,112.3,71.349408
30.21,14.8,4.068064,0.1778,130.8,56.181216
28.82,14.2,3.486912,0.0,129.1,28.218048
30.34,12.0,5.409184,2.8702,104.5,24.709200000000003
28.89,10.2,4.24688,6.5532,94.3,46.272048
29.97,10.2,4.738624,3.7084,76.9,54.991776
28.4,6.8,5.990336,1.8034,66.4,48.396048
28.93,6.7,4.559807999999999,2.4638,105.7,53.23876799999999
28.75,6.0,2.2799039999999997,0.0,47.4,42.91896
29.97,6.4,6.660896,3.3274,81.7,70.210944
28.82,2.2,4.202176,0.2794,58.6,47.756016
30.03,0.2,7.063232,1.143,62.2,34.958208
29.92,0.6,4.425696,0.0762,63.2,30.667727999999997
29.51,1.0,4.69392,2.0828,83.9,37.3116
29.76,1.2,4.068064,3.048,106.9,42.896304
29.98,-0.4,6.5714879999999996,3.4036,90.1,43.040735999999995
29.21,-0.8,5.006848,1.2954,120.3,38.050752
29.34,0.0,3.978656,0.1778,126.9,33.958512
29.81,-0.2,6.660896,3.6322,127.4,51.335664
30.33,0.2,6.347968,2.921,125.3,34.893072000000004
28.86,0.6,4.9621439999999994,1.8288,122.8,25.37472
29.51,1.8,5.409184,3.9878,110.5,58.50912
28.52,2.9,4.91744,2.1336,186.7,70.519632
29.6,3.6,5.006848,1.4732,228.9,75.77016
28.49,6.8,5.588,0.2286,224.3,109.085808
28.53,6.2,6.616192,0.1016,237.2,58.458144
28.61,7.2,6.213856,0.0,233.2,37.72224
30.24,7.8,6.0350399999999995,0.7874,217.3,27.365616
30.08,8.2,5.185664,0.4318,267.4,25.553136
28.12,12.0,5.6327039999999995,5.08,211.9,37.957296
29.72,10.4,5.81152,1.2954,249.3,29.90592
29.57,12.8,5.319776,4.2164,317.1,32.511359999999996
29.67,14.0,4.336288,0.3302,278.1,27.35712
29.63,16.9,3.978656,1.3208,314.6,18.64872
30.34,18.6,5.096256,0.635,266.8,13.854144
28.6,0.9,5.677408,0.8636,146.0,55.770576
28.0,2.0,4.649216,1.9812,164.4,47.560608
29.1,3.9,4.738624,4.064,153.8,35.609568
26.4,4.0,5.722112,8.4836,151.9,64.49313599999999
26.4,4.9,6.347968,0.2032,228.7,145.066368
26.4,6.7,5.543296,0.0,241.3,104.82931200000002
26.4,8.1,4.91744,2.5654,197.3,57.464112
28.6,8.8,4.872736,0.3302,193.7,48.520656
27.0,11.9,4.559807999999999,0.0508,224.3,34.870416
28.6,13.5,4.872736,5.5626,264.4,26.094048
28.6,12.7,4.112768,0.9144,160.8,22.06128
28.6,13.7,4.425696,0.8382,181.6,54.380064000000004
29.1,15.0,4.380992,6.985,331.0,29.132784
27.0,16.9,4.380992,0.2032,166.1,29.5236
28.6,17.8,4.02336,0.2794,251.1,29.795471999999997
29.6,17.4,4.380992,2.6416,250.9,16.700304
